Male,Female,Hispanic or Latino,White,Black or African American,Native Hawaiian or Pacific Islander,Asian,Native American or Alaska Native,Two or More Races,Model Output
0,1,0,0,1,0,0,0,0,50.0
1,0,0,1,0,0,0,0,0,6.945
1,0,1,0,0,0,0,0,0,51.0
1,0,0,0,1,0,0,0,0,36.46
0,1,0,1,0,0,0,0,0,23.934
0,1,0,0,1,0,0,0,0,43.507
1,0,1,0,0,0,0,0,0,91.251
0,1,1,0,0,0,0,0,0,79.812
1,0,1,0,0,0,0,0,0,63.118
0,1,0,1,0,0,0,0,0,46.429
1,0,0,0,1,0,0,0,0,49.781
1,0,1,0,0,0,0,0,0,54.296
1,0,0,1,0,0,0,0,0,27.097
1,0,1,0,0,0,0,0,0,54.919
0,1,0,0,0,0,1,0,0,89.868
0,1,0,1,0,0,0,0,0,70.041
0,1,0,0,1,0,0,0,0,44.248
1,0,1,0,0,0,0,0,0,68.212
1,0,0,0,0,0,0,0,1,40.648
1,0,0,0,1,0,0,0,0,56.127
0,1,1,0,0,0,0,0,0,24.154
0,1,0,0,1,0,0,0,0,43.345
0,1,0,0,1,0,0,0,0,55.256
1,0,0,1,0,0,0,0,0,28.478
1,0,0,0,1,0,0,0,0,41.421
0,1,0,0,0,0,0,0,1,66.508
1,0,1,0,0,0,0,0,0,54.365
0,1,0,0,1,0,0,0,0,59.872
0,1,0,1,0,0,0,0,0,72.997
0,1,1,0,0,0,0,0,0,57.295
0,1,0,0,1,0,0,0,0,74.542
1,0,1,0,0,0,0,0,0,55.034
1,0,1,0,0,0,0,0,0,77.973
0,1,0,1,0,0,0,0,0,42.044
0,1,0,1,0,0,0,0,0,64.721
1,0,0,0,0,1,0,0,0,47.56
0,1,1,0,0,0,0,0,0,32.292
0,1,1,0,0,0,0,0,0,65.517
1,0,1,0,0,0,0,0,0,63.887
0,1,1,0,0,0,0,0,0,58.977
1,0,0,1,0,0,0,0,0,57.044
0,1,0,1,0,0,0,0,0,54.863
1,0,1,0,0,0,0,0,0,56.13
1,0,0,0,1,0,0,0,0,63.037
0,1,0,1,0,0,0,0,0,69.796
0,1,0,1,0,0,0,0,0,46.347
0,1,0,0,1,0,0,0,0,33.431
1,0,1,0,0,0,0,0,0,85.209
0,1,0,1,0,0,0,0,0,39.307
1,0,1,0,0,0,0,0,0,68.206
0,1,0,0,0,0,1,0,0,39.614
0,1,1,0,0,0,0,0,0,31.624
0,1,1,0,0,0,0,0,0,79.184
0,1,0,1,0,0,0,0,0,54.806
1,0,0,1,0,0,0,0,0,58.33
1,0,1,0,0,0,0,0,0,49.625
0,1,1,0,0,0,0,0,0,40.215
0,1,0,1,0,0,0,0,0,35.434
1,0,0,0,1,0,0,0,0,62.287
0,1,0,0,1,0,0,0,0,75.102
0,1,1,0,0,0,0,0,0,58.809
1,0,1,0,0,0,0,0,0,69.881
1,0,1,0,0,0,0,0,0,77.162
0,1,1,0,0,0,0,0,0,91.104
1,0,0,0,1,0,0,0,0,49.883
0,1,0,1,0,0,0,0,0,57.099
1,0,0,0,1,0,0,0,0,64.091
1,0,0,0,0,0,0,0,1,52.501
0,1,0,0,1,0,0,0,0,41.415
1,0,1,0,0,0,0,0,0,64.313
0,1,0,0,1,0,0,0,0,29.705
0,1,0,1,0,0,0,0,0,87.065
1,0,0,0,1,0,0,0,0,48.368
1,0,1,0,0,0,0,0,0,69.996
0,1,0,0,0,0,0,0,1,8.909
0,1,0,0,1,0,0,0,0,14.106
1,0,0,1,0,0,0,0,0,37.492
1,0,0,1,0,0,0,0,0,34.763
0,1,0,0,1,0,0,0,0,78.11
1,0,0,0,1,0,0,0,0,37.569
1,0,0,1,0,0,0,0,0,63.102
0,1,0,1,0,0,0,0,0,62.843
1,0,0,0,1,0,0,0,0,66.976
0,1,1,0,0,0,0,0,0,57.895
0,1,1,0,0,0,0,0,0,57.675
1,0,1,0,0,0,0,0,0,36.382
0,1,0,1,0,0,0,0,0,70.535
0,1,1,0,0,0,0,0,0,60.709
0,1,0,1,0,0,0,0,0,46.003
0,1,1,0,0,0,0,0,0,88.309
1,0,0,1,0,0,0,0,0,46.709
1,0,1,0,0,0,0,0,0,65.414
1,0,1,0,0,0,0,0,0,40.963
1,0,0,0,1,0,0,0,0,28.371
1,0,0,1,0,0,0,0,0,75.229
1,0,0,0,1,0,0,0,0,29.405
0,1,0,0,1,0,0,0,0,73.656
1,0,0,1,0,0,0,0,0,30.707
1,0,0,1,0,0,0,0,0,47.095
1,0,1,0,0,0,0,0,0,22.785
1,0,0,1,0,0,0,0,0,60.232
